q,tau_q,D_q,alpha,f_alpha
-5.0,-4.709850189616975,0.7849750316028291,0.6522610400633941,1.4485449893000042
-4.5,-4.38365846193034,0.7970288112600618,0.6526282859930223,1.4468311749617397
-4.0,-4.0571449435498845,0.8114289887099769,0.6534572923670589,1.4433157740816491
-3.5,-3.7301253666722305,0.8289167481493845,0.6547411160873984,1.4385314603663364
-3.0,-3.4021567370139585,0.8505391842534896,0.6575074824989038,1.4296342895172471
-2.5,-3.0721772031461327,0.8777649151846093,0.6629179350735729,1.4148823654622005
-2.0,-2.7377234067403258,0.912574468913442,0.6774207588486012,1.3828818890431234
-1.5,-2.3935149429237557,0.9574059771695023,0.6993725908662844,1.3444560566243289
-1.0,-2.029778410330136,1.014889205165068,0.7727588561473996,1.2570195541827363
-0.5,-1.6307771461104226,1.087184764073615,0.7860187654241153,1.2377677633983648
0.0,-1.1699301960297963,1.1699301960297963,1.2422553679581771,1.1699301960297963
0.5,-0.6194189731804881,1.2388379463609762,0.313108800322783,0.7759733733418797
1.0,-0.5412890900513317,,1.277156066621478,1.81844515667281
1.5,0.6460922533192747,1.2921845066385493,2.1713342921898806,2.5
2.0,1.296720972359318,1.296720972359318,1.0655671390828956,0.8344133058064731
2.5,1.9429809302038674,1.2953206201359115,1.347729212786094,1.4263421017613676
3.0,2.58126675487683,1.290633377438415,1.2507907048778015,1.1711053597565741
3.5,3.2103022783207593,1.2841209113283036,1.2530360564040521,1.1753239190934228
4.0,3.829988080535991,1.276662693511997,1.229393023460954,1.0875840133078252
4.5,4.440871566568189,1.2688204475909113,1.2128075792367121,1.016762539997015
5.0,5.0438444447669415,1.2609611111917354,1.2025148449779004,0.9687297801225601
