q,tau_q,D_q,alpha,f_alpha
-5.0,-7.604539753420629,1.2674232922367714,1.2059593388390355,1.5747430592254519
-4.5,-7.001293278177053,1.2729624142140097,1.207560173783382,1.5672724961518343
-4.0,-6.39670224268471,1.279340448536942,1.210825030442949,1.5534021209129136
-3.5,-5.7903500278346005,1.2867444506299113,1.214799206499539,1.5385528050862138
-3.0,-5.181627299085189,1.2954068247712973,1.2204278051560193,1.520343883617131
-2.5,-4.5696047171314875,1.3056013477518535,1.227961437095062,1.4997011243938325
-2.0,-3.952834177835115,1.317611392611705,1.2404851739641796,1.4718638299067557
-1.5,-3.329097725620366,1.3316390902481463,1.2531398161149494,1.4493880014479419
-1.0,-2.695247896511914,1.347623948255957,1.2924732495152262,1.402774646996688
-0.5,-2.047501317394974,1.3650008782633158,1.266545635176498,1.414228499806725
0.0,-1.382584453279736,1.382584453279736,1.51732486917185,1.382584453279736
0.5,-0.699423446097024,1.398846892194048,0.7526221159238021,1.075734504058925
1.0,-0.3925304426157081,,1.4125107311171088,1.805041173732817
1.5,0.7115476813600065,1.423095362720013,2.063161724349945,2.383194905164911
2.0,1.4306615657952717,1.4306615657952717,1.2739944219489905,1.1173272781027093
2.5,2.15356101349335,1.4357073423289,1.4929405806541531,1.578790438142033
3.0,2.8775874904297596,1.4387937452148798,1.435798803241323,1.4298089192942096
3.5,3.6010831201373192,1.4404332480549278,1.4489968462443725,1.4704058417179842
4.0,4.3231491603716465,1.441049720123882,1.4415838314325102,1.4431861653583944
4.5,5.043419250720421,1.4409769287772634,1.4386846115241985,1.4306615011384718
5.0,5.761872393945273,1.4404680984863183,1.4360171239124562,1.4182132256170075
