q,tau_q,D_q,alpha,f_alpha
-5.0,-6.960563803508713,1.1600939672514523,1.1103272601286476,1.4089275028654757
-4.5,-6.405292256741352,1.1645985921347912,1.1109747603468736,1.4059058351804206
-4.0,-5.8494725590855765,1.1698945118171153,1.1123211650226799,1.400187898994857
-3.5,-5.292908250831288,1.176201833518064,1.1140446150227914,1.3937520982515181
-3.0,-4.73524781485565,1.1838119537139125,1.1168488402657137,1.3847012940585088
-2.5,-4.175824319234512,1.193092662638432,1.1210636134950076,1.3731652854969933
-2.0,-3.613371825980319,1.204457275326773,1.1301526390062402,1.3530665479678388
-1.5,-3.045605461162007,1.2182421844648028,1.1396389789150632,1.3361469927894123
-1.0,-2.468814082163212,1.234407041081606,1.1786379082361507,1.2901761739270612
-0.5,-1.8784746170216073,1.2523164113477383,1.148594452982732,1.3041773905302412
0.0,-1.2714464067079438,1.2714464067079438,1.411190332564529,1.2714464067079438
0.5,-0.6453570472836533,1.2907140945673066,0.6053496351868777,0.9480318648770921
1.0,-0.4149681266389338,,1.3062808071020209,1.7212489337409547
1.5,0.6578044650439565,1.315608930087913,1.9884962103706982,2.3249398505120906
2.0,1.3184776512364471,1.3184776512364471,1.140409018667472,0.9623403860984969
2.5,1.9753863964386376,1.316924264292425,1.3553593033274998,1.413011861880112
3.0,2.6252698637664773,1.3126349318832387,1.27890704320271,1.211451265841653
3.5,3.2669416342820568,1.3067766537128227,1.2783439509221752,1.207262193945557
4.0,3.900341866411523,1.3001139554705077,1.258149168978863,1.1322548095039293
4.5,4.526006528028298,1.2931447222937995,1.2434487356398207,1.0695127823508948
5.0,5.144750452700826,1.2861876131752066,1.2345074061976742,1.0277865782875448
