q,tau_q,D_q,alpha,f_alpha
-5.0,-5.415731418356929,0.9026219030594881,0.7833237764236083,1.4991125362388873
-4.5,-5.024087972686817,0.9134705404885122,0.7832131211734533,1.499628927406277
-4.0,-4.632528211017236,0.9265056422034472,0.7830429829207327,1.5003562793343055
-3.5,-4.241028702116314,0.9424508226925143,0.7829705705666317,1.5006317051331037
-3.0,-3.849460464763776,0.962365116190944,0.7834812123335024,1.4990168277632687
-2.5,-3.4574006252779865,0.9878287500794247,0.7848730411293264,1.4952180224546705
-2.0,-3.0636133920523694,1.0212044640174565,0.7921090594176318,1.4793952732171058
-1.5,-2.664633384515101,1.0658533538060404,0.8032941657774604,1.4596921358489103
-1.0,-2.251296702035447,1.1256483510177235,0.8686144175740605,1.3826822844613864
-0.5,-1.802282737510546,1.2015218250070305,0.8963520459536269,1.3541067145337324
0.0,-1.2812344712702672,1.2812344712702672,1.3663507832025106,1.2812344712702672
0.5,-0.6682404256145189,1.3364808512290378,0.4424986926124923,0.8894897719207651
1.0,-0.5329240543792135,,1.3535169476938425,1.886441002073056
1.5,0.6702250674611945,1.340450134922389,2.1742264750664186,2.5
2.0,1.3115400361658394,1.3115400361658394,1.0163616953108014,0.7211833544557635
2.5,1.9159596562235541,1.2773064374823695,1.2347342762645344,1.1708760344377818
3.0,2.4865895741795034,1.2432947870897517,1.0949984277130451,0.7984057089596321
3.5,3.0296954941553356,1.2118781976621342,1.0676870404739747,0.7072091475035758
4.0,3.552171748475832,1.184057249491944,1.0277464561690273,0.5588140762002771
4.5,4.060186360239087,1.1600532457825963,1.0042723313524267,0.4590391308468327
5.0,4.558390342013417,1.1395975855033542,0.9924757796467754,0.4039885562204599
