q,tau_q,D_q,alpha,f_alpha
-5.0,-7.36400815721646,1.22733469286941,1.1701993512546016,1.5130114009434523
-4.5,-6.778791143008727,1.2325074805470413,1.170903382737199,1.5097259206913307
-4.0,-6.1929746265269685,1.2385949253053936,1.172388301933553,1.5034214187927564
-3.5,-5.606332315869648,1.2458516257488106,1.1742963723630624,1.4962950125989298
-3.0,-5.018495637279187,1.2546239093197968,1.177300144100885,1.486595204976532
-2.5,-4.4287902445866765,1.265368641310479,1.1817554789312263,1.4744015472586107
-2.0,-3.8358964033077623,1.2786321344359208,1.1912733440027605,1.4533497153022412
-1.5,-3.237294134673562,1.2949176538694247,1.202127804536419,1.4341024278689334
-1.0,-2.62866576172979,1.314332880864895,1.243599287319396,1.3850664744103942
-0.5,-2.0039848441407213,1.3359898960938141,1.2233307893830414,1.3923194494492006
0.0,-1.357631259006241,1.357631259006241,1.4892845714897345,1.357631259006241
0.5,-0.6882074069362568,1.3764148138725136,0.7141955478848067,1.0453051808786602
1.0,-0.4015430370528744,,1.390462568691238,1.7920056057441123
1.5,0.699795054045373,1.399590108090746,2.051968943240019,2.3781583608146555
2.0,1.4044525277547222,1.4044525277547222,1.2376350471942648,1.0708175666338073
2.5,2.109097922456286,1.4060652816375239,1.4533080784483978,1.5241722736647088
3.0,2.8106158481025867,1.4053079240512933,1.3861125610993301,1.3477218351954035
3.5,3.5071473679885248,1.4028589471954098,1.3905383503477158,1.3597368582284801
4.0,4.197652227930487,1.3992174093101621,1.373952316477207,1.2981570379783411
4.5,4.881622458436726,1.3947492738390646,1.3605029264326642,1.240640710510263
5.0,5.558919517088091,1.3897298792720227,1.3516397127377626,1.1992790466007222
