q,tau_q,D_q,alpha,f_alpha
-5.0,-8.86544164473099,1.4775736074551649,1.4939584937992723,1.3956491757346274
-4.5,-8.118480281216991,1.4760873238576346,1.4938511934854446,1.3961499105324906
-4.0,-7.3716305240546625,1.4743261048109324,1.493503456316909,1.3976166987870267
-3.5,-6.625040674944624,1.4722312610988053,1.4927726188811208,1.4003365088607014
-3.0,-5.878922134802836,1.469730533700709,1.491656403669568,1.4039529237941313
-2.5,-5.133568852949278,1.4667339579855079,1.4894326984126836,1.4099871069175691
-2.0,-4.389386174121992,1.4631287247073308,1.4878285667647575,1.4137290405924774
-1.5,-3.646939464705263,1.458775785882105,1.479029363992375,1.4283954187167
-1.0,-2.907019573051042,1.453509786525521,1.4902535836914428,1.4167659893595994
-0.5,-2.170633032511802,1.4470886883412015,1.4177948944026182,1.461735585310493
0.0,-1.4389278200563054,1.4389278200563054,1.6471173566665047,1.4389278200563054
0.5,-0.7140855328309685,1.428171065661937,0.7330206770163634,1.0805958713391504
1.0,-0.43987938692297857,,1.4150905340680027,1.8549699209909813
1.5,0.7004318622941317,1.4008637245882634,2.0937215574622274,2.4401504738992092
2.0,1.3865983603202345,1.3865983603202345,1.168889719542366,0.9511810787644974
2.5,2.059124360169995,1.3727495734466633,1.3828745516234893,1.3980620188887283
3.0,2.7191175722068333,1.3595587861034166,1.2947273452832706,1.1650644636429788
3.5,3.3679013292261764,1.3471605316904705,1.290877881580518,1.150171256305637
4.0,4.006888889128234,1.3356296297094115,1.2683890299230633,1.0666672305640192
4.5,4.637480995381055,1.3249945701088728,1.2530439956564998,1.001216985073194
5.0,5.260977787782351,1.3152444469455877,1.2439683793756382,0.9588641090958401
