q,tau_q,D_q,alpha,f_alpha
-5.0,-3.844101759194949,0.6406836265324914,0.44525016307972276,1.617850943796335
-4.5,-3.621421497458615,0.6584402722652027,0.4455812442585581,1.6163058982951033
-4.0,-3.3984559288389518,0.6796911857677903,0.4462998420220277,1.613256560750841
-3.5,-3.175064186123412,0.705569819138536,0.4473632556645479,1.6092927912974946
-3.0,-2.9508326457901837,0.7377081614475459,0.44998683361238917,1.600872144953016
-2.5,-2.724661556951177,0.7784747305574792,0.45510518491930646,1.5868985946529108
-2.0,-2.4940068630550543,0.8313356210183515,0.4705471231211613,1.5529126168127316
-1.5,-2.2532809526548725,0.901312381061949,0.49098994837387494,1.51679603009406
-1.0,-1.9920049932296313,0.9960024966148157,0.5775043023358764,1.414500690893755
-0.5,-1.6968024529454,1.1312016352969334,0.5378638405394548,1.4278705326756727
0.0,-1.3062711302567283,1.3062711302567283,1.385443513343723,1.3062711302567283
0.5,-0.696064733350405,1.39212946670081,0.1,0.746064733350405
1.0,-0.8892998749336872,,1.417230323972027,2.306530198905714
1.5,0.7140538896716495,1.428107779343299,2.8670020185885945,2.5
2.0,1.4355483180357438,1.4355483180357438,1.063850759490179,0.6921532009446141
2.5,2.159668026435959,1.4397786842906395,1.5512797640365474,1.7185313836554093
3.0,2.8834259552300145,1.4417129776150073,1.4182960075292563,1.3714620673577547
3.5,3.604961435038829,1.4419845740155315,1.4472966574636448,1.4605768660839282
4.0,4.323091688009537,1.4410305626698456,1.4305117592933008,1.398955349163666
4.5,5.037046425142182,1.4391561214691948,1.4231662459832708,1.3672016817825368
5.0,5.746334824288475,1.4365837060721187,1.4162820744472433,1.335075547947742
